SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE LOST,LONGITUDE LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE
E C Hay,,William Denbigh,Schooner,1873,"Sinepuxent, MD",6/28/06,1906,6,28,Hudson River Hoboken E,,,Collision,Wood,US,70,25.1,5.9,63,60,"Newark, NJ","Newark, NJ","Harlem River, NY",William Denbigh,4,0,0,,,Stone,,Y,Y,#8903;,
E C Knight Jr (1903),,Ezra S Bartlett,Schooner,1874,"Port Republic, NJ",4/22/03,1903,4,22,Cape May SE 5 mi,,,Collision,Wood,US,121.3,32.4,9,247.29,234.93,"Philadelphia, PA","Claremont, VA","New York, NY",John Oronberg,6,,0,5000,1600,200 cords pine wood,,N,N,#8992; Partial damage,
E J Hamilton,,,Schooner,1873,"Nyack, NY",5/20/1881,1881,5,20,Sandy Hook Point,,,Stranded,,,111,30,8,188,178.67,"New York, NY","Port of Yorktown, Virginia","New York, NY",Inman,6,,0,5000,1000,Wood,,N,N,#8923; Refloated,
E S Newman,,R P Buck,Schooner,,,2/21/1877,1877,2,21,Cape May Coxs Shoal,,,Stranded,,,133,31.4,10.1,330,,"New York, NY","Matanzas, Cuba","New York, NY",Newman,10,,0,25000,100000,584 hogshead sugar,Cape May #38 & #39,N,N,#8870; Refloated,
E W Evans,,,Schooner,,,5/16/1864,1864,5,16,Long Beach S 10 mi,,,Stranded,,,,,,,,"Baltimore, MD","Pembroke Parish, Bermuda","New York, NY",,,,0,,,Salt,,,N,,
E W Stetson,,T Dunham,Ship,1860,"New Castle, ME",12/24/1884,1884,12,24,Sandy Hook Point,,,Stranded,Wood,,173.2,38.2,23.6,1164.88,1104.17,"New York, NY","Breman, Norway","New York, NY",Hammond,18,,0,40000,5000,"Clay, cement & barrels",,N,N,#7770; Refloated,
Eastern 2,,Midland Enterprises Inc,Barge,1945,"New Orleans, LA",12/25/69,1969,12,25,Shark River Inlet,,,Stranded,,US,422.8,57.04,24.5,6428,6034,"Wilmington, DE","Hampton Roads, VA","New York, NY",,,,,,,Coal,,Y,Y,#247414; Broke in two,
Eastern Belle,,Lttlefield & Co,Bark,1853,"Bangor, ME",1/1857,1857,1,,"Long Branch, NJ",,,Stranded,,,,,,228,,"Bangor, ME","Cadiz, Spain","New York, NY",,,,,58000,,,,,N,,
Echo,,,Schooner,,,1/13/1856,1856,1,13,"Long Branch, NJ",,,Stranded,,,,,,,,"Baltimare, MD","Baltimore, MD","New York, NY",,5,,0,,,Coal,,Y,N,Total loss,
Edgar,,,Ship,,,3/24/1846,1846,3,24,Absecon Beach S 2 mi,39-20-00 N,74-28-00 W,Stranded,,,,,,,,"Brunswick, ME","New Orleans, LA","New York, NY",McManus,,,,24000,,"Cotton, pork & hams",,N,N,Refloated,
Edith and May,,,Schooner,1891,"Millbridge, ME",9/7/05,1905,9,7,Sea Isle City LSS NE 3.5 mi,,,Stranded,Wood,US,95.4,26.2,7.3,128,103,"New London, CT","Fernandina, FL","New York, NY",Birch,5,,0,4500,1500,Lumber,"Sea Isle City, Corsons Inlet",N,N,#136234; Refloated,
Edith L Allen (1902),,George Thomas,Schooner,1890,"Richmond, ME",2/2/02,1902,2,2,Brigantine LSS E 3.5 mi,,,Stranded,Wood,,185.3,39.1,18.4,969,920,"Philadelphia, PA","St Simons, GA","New York, NY",Gilkey,9,,0,25000,13000,Lumber,Brigantine,N,N,#136124; Refloated,
Eduardo,,Compania de Nav. La Flecha,Steamer,1878,"Hull, England",10/10/1885,1885,10,10,Sandy Hook LSS NW 2 mi,,,Stranded,Iron,Spain,325.3,34.7,25.3,2308,1503,"Bilboa, Spain","Havana, Cuba","New York, NY",Cheviano,30,,0,250000,50000,Sugar,,N,N,Refloated,
Edward (1770),,,Ship,,,6/11/1770,1771,6,11,Brigantine Inlet,,,Stranded,,,,,,,,,"London, England","New York, NY",Kemble,,,0,,,,,,N,,
Eliza (1837),,,Brig,,,3/22/1837,1837,3,22,"Great Egg Harbor, NJ",,,Stranded,,,,,,,,,"Apalachicola, FL","New York, NY",,,,0,,,,,Y,N,Crew saved,
Eliza A Scribner,,Thomas Winsmore,Schooner,1872,"Milford, DE",4/26/05,1905,4,26,Barnegat SE 13 mi,,,Collision,Wood,US,128.4,30,9.2,398,350,"Philadelphia, PA","Wilmington, NC","New York, NY",Silas H Dodd,7,7,0,5000,3000,450 ton Yellow pine lumber,,N,N,#8839; Partial loss,
Eliza Nicholl,,,Schooner,,,11/30/1842,1842,11,30,Absecon Beach,,,Stranded,,,,,,,,"New Bedford, MA","Baltimore, MD","New York, NY",Baker,,,4,,,Flour & corn,,Y,N,Total loss,
Eliza S Potter (1883),,,Schooner,1857,"Mystic, CT",8/29/1883,1883,8,29,"Ludlams Beach, NJ",,,Stranded,,,,,,338,321.05,"Warren, RI","Port Royal, SC","New York, NY",,,,,,,Wood/rags,,,N,#7942,
Elizabeth (1764),,,Sloop,,,12/1/1764,1764,12,1,Brigantine Beach,,,Stranded,,England,,,,,,,"Philadelphia, PA","New York, NY",Killgour,,,1,,,,,Y,N,#1149; Total loss,
Elizabeth (1820),,,Brig,,,1/10/1820,1820,1,10,Asbury Park,,,Stranded,,,,,,,,,"Wilmington, DE","New York, NY",,,,,,,Cotton & Rice,,,N,,
Elizabeth (1850),,,Sailing ship,,,7/16/1850,1850,7,16,Fire Island Light E 5 mi,,,Stranded,Wood,US,,,,,,"Philadelphia, PA","Livorno, Province of Livorno, Italy","New York, NY",Hasty,18,5,8,,,Fancy Italian stonework,,Y,N,Identified by divers,
Ella,,Schooner,,1864,"Damariscotta, ME",6/22/1876,1876,6,22,Hereford Inlet South bar,,,Stranded,,,,,10,160,,"Boston, MA","Ponce, Puerto Rico","New York, NY",Driscoll,6,,0,,13500,Sugar & molasses,Hereford Inlet  #36,N,N,Refloated,
Ellen (1862),,,Schooner,,,8/1/1862,1862,8,1,Highlands SE 12 mi,,,Collision,,England,,,,,,,"Nassau, Bahamas","New York, NY",,,,0,,,,,Y,N,Sank,
Ellen H Perkins,,,Schooner,,,5/16/1851,1851,5,16,Shark River Inlet,,,Stranded,,,,,,,,"New London, CT","Port of Yorktown, Virginia","New York, NY",Smith,,,1,,,,,Y,N,Total loss,
Ellie L Smith,,Smith et al,Schooner,1865,"Marshallville, NJ",6/5/1874,1874,6,5,Sandy Hook Romer Shoal,,,Stranded,,,115.4,30.6,9.8,331,,"Marshallville, NJ","Barbados, Carribean","New York, NY",Smith,,,,,,,,N,N,Refloated,
Elmina (1884),,William Walthem Staer,Bark,1874,"Kingsbridge, England",1/8/1884,1884,1,8,Long Beach S .75 mi,,,Stranded,,England,,,,247,,"Salscombe, England","Natal, Brazil","New York, NY",Ball,8,,8,7400,30000,Sugar,Long Beach #21,Y,N,#67277; Total loss,
Emeline (1842),,,Schooner,,,6/10/1842,1842,6,10,Sandy Hook east bank,,,Collision,,,,,,,,"Shrewsbury, NJ","Shrewsbury, NJ","New York, NY",,,,0,,,Hickory wood,,Y,N,"Total loss; Crew resued by ""Elisha Ruckman""",
Emeline (1857),,,Brig,,,1/18/1857,1857,1,18,Highlands,,,Stranded,,,,,,170,,"Penobscot, ME","Gonaives, Haiti","New York, NY",Haggerty,10,,6,16000,,,,,N,,
Emilia Paquala,,,,,,4/1/02,1902,4,1,"Surf City, 9th St",,,Stranded,Steel,,,,,,,,"Buenos Aires, Arg","New York, NY",,,,,,,Bones,,Y,N,Total loss,
Emily (1844),,,Brig,,,3/18/1844,1844,3,18,Sandy Hook,,,Collision,,,,,,,,,"Charleston, SC","New York, NY",Sherwood,,,,,,,,N,N,"Rescued crew of ""Virginia""",
Emily E Johnson,,,Schooner,1883,"Prankatank River, VA",3/24/1897,1897,3,24,Monmouth Beach LSS N 1.25 mi,,,Stranded,Wood,,95.4,26.7,7.9,121.61,115.53,"Baltimore, MD","Cambridge, MD","Oyster Bay, NY",Keiningham,6,,0,4000,300,Oyster shells,Monmouth Beach & Seabright,Y,N,#135712; Total loss,
Emily F Northam,,T Winsmore,Schooner,1883,"Portland, CT",4/19/1887,1887,4,19,Hereford Inlet NE 1.5 mi,,,Stranded,,,131.2,33,10.5,332.45,315.83,"Middletown, CT","Norfolk, VA","New York, NY",Stetson,8,,0,15000,3500,Lumber,,N,N,#135732; Refloated,
Emily F Whitney,Full Rigged Clipper,"Flitner,Whitney,Roby,Rollins",Clipper ship,1879,"East Boston, MA",12/19/1892,1892,12,19,Long Beach LSS S 2 mi,,,Stranded,,US,196,38.6,24,1315,1207,"Boston, MA","Pisagua, Chile","New York, NY",George A Dearborn,19,,0,45000,97870,"Nitrate of soda, woll",Bonds,N,Y,#135468; Refloated,
Emma (1879),,,Schooner,,,1/26/1879,1879,1,26,Little Egg Harbor,,,Mechanical damage,,,,,,,,"Patchogue, NY","York River, VA","New York, NY",Newton,4,,,,,Oysters,Little Egg #23,N,N,Repaired & sailed to New York,
Emma C Babcock,,John Wallace et al,Schooner,1873,"Goshen, NY",2/3/1880,1880,2,3,Monmouth Beach N .25 mi,40-21-24 N,73-56-30 W,Stranded,Wood,US,113.5,29.9,9.1,228.28,,"Somers Point, NJ ","James River, VA","New York, NY",Isaac Treen,7,,0,16000,1200,Pinewood,Monmouth Beach #4,Y,N,#8915; Total loss,
Emma D Blew,,John Bart,Schooner,1870,"Bridgeton, NJ",8/18/1879,1879,8,18,Long Beach LSS N 1 mi,,,Stranded,,,45.2,18.1,5.4,32,,"Bridgeton, NJ","Dividing Creek, NJ","New York, NY",Moore,4,,0,1500,400,Watermelons,Long Beach #21,Y,N,#8783; Total Loss,
Empire State (1886),,,Sidewheel steam,1848,"New York, NY",9/9/1886,1886,9,9,Sandy Hook LSS S .5 mi,,,Stranded,,,,,,1691,1578.79,"Taunton, MA","Boston, MA","New York, NY",Blanchard,,560,0,50000,,Observer to America's Cup race,Sandy Hook & Spermaceti Cove,N,N,#7607; Refloated,
Enterprise (1883),,,Schooner,,,2/17/1883,1883,2,17,Absecon LSS SW 1.75 mi,,,Stranded,,,,,,22,,"Chincoteague, VA","Chincoteague, VA","New York, NY",Jones,3,,0,1000,385,Oysters,Absecon # 28,Y,N,Total loss,
Envoy,,,Schooner,,,1/1856,1856,1,,Squan Inlet,,,Stranded,,,,,,,,,"Jamaica, WI","New York, NY",,,,,,,,,,N,,
Equator,,,Brig,,,11/10/1838,1838,11,10,Deal Beach,,,Stranded,,,,,,,,,"Rotterdam, Holand","New York, NY",,,,,,,General Merchandise,,,N,,
Essex (1838),,,Sloop,,,11/23/1838,1838,11,23,Sandy Hook,,,Mechanical damage,,,,,,,,,"Barnegat, NJ","New York, NY",,,,,,,Lime,,Y,N,Sank; crew saved,
Etta M Tucker,,B J Willard,Brig,,,1/31/1878,1878,1,31,Asbury Park 5th Ave,,,Stranded,,,118.4,28,10.8,271,,"Portland, ME","Rio de Janiero, Brazil","New York, NY",Forbes,8,,0,9000,80000,Coffee,Deal #6,Y,Y,#8063; Total Loss,
Euphenia A Hayes,,,Schooner,1873,"St George, ME",2/18/1885,1885,2,18,Mantaloking LSS SW .5 mi,,,Stranded,Wood,US,109,29,9.2,200,189.65,"St George, ME","Port of Spain, Trinidad","New York, NY",Hayes,8,,0,8000,,In ballast,Mantaloking,Y,N,#8951; Total loss,
Euphrasia,,,Ship,,,7/13/1858,1858,7,13,Squan Beach,,,Stranded,,,,,,,,,"Newcastle, England","New York, NY",Lanfair,,,,,,Coal,,N,N,Refloated 7/20/1858,
Europe,,,Ship,,,5/1/1839,1839,5,1,Deal Beach,,,Stranded,Wood,England,,,,,,,"Liverpool, England","New York, NY",Pouley,,100,0,,,Salt & crates of ware,,Y,N,Total loss,
Evans (1862),,,Bark,,,2/20/1862,1862,2,20,Great Egg Harbor bar,39-17-30 N,74-32-30 W,Stranded,,,,,,,,,"London, England","New York, NY",,12,,,,,In ballast,,Y,N,Total loss,
Eveline (1875),Evaline,,Sloop,,,3/15/1875,1875,3,15,Townsends Inlet South bar,,,Stranded,,,,,,23,,"Sayerville, NY","Chincoteague, VA","New York, NY",Newton,3,,0,2800,400,Oysters,Townswnds Inlet #34,N,N,#8338; Refloated,
Excel (1837),,,Schooner,,,1/27/1837,1837,1,27,Absecon Beach,,,Stranded,,,,,,,,,"Savannah, GA","New York, NY",,,,,,,,,Y,N,Total loss,
Excel (1839),,,Sloop,,,~ 11/15/1839,1839,11,15,Delaware Capes,,,Stranded,,,,,,,,"Great Egg Harbor, NJ","Fredericksburg, VA","New York, NY",,,,,,,Wheat,,Y,N,Cast away on Horners Beach,
Excelsior (1856),,,Schooner,,,~ 1/1/1856,1856,1,1,Barnegat Inlet N 5.5 mi,,,Stranded,,,,,,,,,"Port au Prince, Haiti","New York, NY",,,,5,,,,,,N,,
Exertion,,,Brig,,,2/2/1838,1838,2,2,Squan Beach Inlet S 8 mi,,,Stranded,,,,,,,,,"Wilmington, NC","New York, NY",,,,,,,,,,N,,
Export,,,Schooner,,,12/24/1849,1849,12,24,Egg Island Light,,,Stranded,,,,,,,,,"Philadelphia, PA","New York, NY",,,,,,,,,N,N,At anchor; all saved,
F J Luckenbach,ID-2160; Comptroller,Luckenbach SS Co,Steamer,1917,"Quincy, MA",10/27/43,1943,10,27,Belmar Beach,,,Stranded,Steel,US,468.4,56,30.6,8074,,"New York, NY","New Orleans, LA","New York, NY",,92,0,0,,,In ballast,,N,Y,Refloated; Scrapped 1951,
F R Sharp,F A Sharp,,Schooner,1892,"Tottenville, NY",11/11/1895,1895,11,11,Sandy Hook Point,,,Stranded,,,124.3,26,8.7,199.89,189.9,"New York, NY","Deal, NJ","New York, NY",Haggarty,6,,0,10000,8000,"Pitch, sugar & coconuts",Sandy Hook,N,N,"#120923; Refloated; Salvaging cargo of ""Irrawaddy""",
Fairmount,,Snow & Burgess,Bark,1879,"Windsor, NS",2/13/1888,1888,2,13,Bayhead LSS S 1.5 mi,,,Stranded,,England,180.7,35.1,22.5,1088,,"Windsor, NS","Antwerp, Belgium","New York, NY",King,17,,0,12000,12000,Barrels & Iron,Bayhead,N,Y,#78988; Refloated,
Fannie (1872),,,Schooner,,,3/6/1872,1872,3,6,Barnegat Shoal,,,Stranded,,US,,,,96,,"Milton, DE","Lewiston, DE","New York, NY",,5,,0,5000,,Corn,,N,N,Refloated,
Fannie R Williams,,J H Winchester,Schooner,1873,"Lewesville, DE",1/6/1886,1886,1,6,Sandy Hook LSS N 1200 yds,,,Stranded,Wood,US,132,32.2,16.6,366,347.36,"Wilmington, DE","Caibarien, Cuba","New York, NY",Brandt,7,,0,10000,6000,Mahogany & cedar,Sandy Hook,N,N,"#120109; Refloated; Ship, crew & cargo saved",
Farmer (1886),,,Schooner,1839,"Huntington, NY",3/21/1886,1886,3,21,Barnegat Shoal,,,Stranded,Wood,US,50.6,19.2,4.7,31.97,30.38,"New York, NY","Little Egg Harbor, NJ","New York, NY",Thurber,2,,0,2000,300,Clams,Barnegat,N,N,#9763; Refloated; All saved,
Farmer (1891),,,Schooner,1839,"Huntington, NY",10/16/1891,1891,10,16,Little Egg LSS S .5 m,,,Stranded,Wood,US,50.6,19.2,4.7,31.97,30.38,"New York, NY","Little Egg Harbor, NJ","New York, NY",Henderson,2,,0,1500,200,Clams,Little Egg,N,N,#9763; Refloated; All saved,
Favorite (1885),,,Schooner,1870,"Branford, CT",2/13/1885,1885,2,13,Fathom Beach South end,,,Stranded,,,,,,137,,"New Haven, CT","Norfolk, VA","New York, NY",Eldridge,4,,0,6500,2500,Lumber,Hereford Inlet,Y,N,#9917; Total loss,
Fawn (1854),,,Brig,,,4/1/1854,1854,4,1,Squan Inlet N 2 mi,,,Stranded,Wood,US,,,,,,"Portland, ME","St Domingo, Dominican Republic ","New York, NY",,,,0,,,1900 bags coffee,,,N,,
Five Sisters (1880),,W E Hutchings,Schooner,1868,"Machias, ME",3/16/1880,1880,3,16,Toms River LSS E,,,Stranded,,,,,,146,,"Boston, MA","Ponce, Puerto Rico","New York, NY",W E Hutchings,6,,0,3000,8000,Sugar & Molases,Toms River #13,Y,N,#9819; Total loss,
Flora Curtis,,James Curtis,Schooner,1873,"Newtown, MD",8/19/1879,1879,8,19,Atlantic City LSS SE .75 mi,39-24-00 N,74-18-00 W,Stranded,,,,,,83,,"Perth Amboy, NJ","Old Point, VA","New York, NY",Asher Curtis,4,,0,8000,500,Wood,Atlantic City #27 & 28,Y,N,#120108; Total loss; USLSS keepers dismissed,
Florence and Lillian,,,Schooner,1874,"Leesburg, NJ",10/15/1898,1898,10,15,Sandy Hook Romer Shoal,,,Stranded,,,124,30.3,8.9,252,211,"Bridgeton, NJ","Norfolk, VA","New York, NY",Smith,7,,0,4000,5000,Lumber,,,N,#120115,
Florence Creadick,,William M Lank,Schooner,1890,"Milton, DE",11/30/15,1915,11,30,Barnegat N 5 mi,,,Collision,Wood,,164.4,35,13.3,730,657,"Philadelphia, PA","Camden, GA","New York, NY",William M Lank,8,0,0,20000,10000,830 ton lumber,,N,N,#120791; Damaged,
Florence L Schepp,,S & H Boardman,Schooner,1880,"Bath, ME",1/18/1884,1884,1,18,Brigantine Shoal,,,Stranded,,,103.1,27.1,10.1,198,,,"Port of Peace, Haiti","New York, NY",William Crabbe,,,,,,,,N,N,#120392; Refloated,
Florida (1841),,,Bark,,,9/21/1841,1841,9,21,Brigantine Shoal,39-23-00 N,74-23-30 W,Stranded,,,,,,,,"New Bedford, MA","Canton, China","New York, NY",Faucon,,,0,,200000,"Tea, rhubarb, cassia, silk",,Y,N,Total loss,
Flottbek,,Finch Edge & Co,Freighter,1891,"Newcastle, England",11/23/01,1901,11,23,Monmouth Beach LSS S 1.25 mi,,,Stranded,Steel,Germany,273,42.1,24,1961,1861,"Hamburg, Germany","Plymouth, England","New York, NY",Les Zingler,24,,0,80000,30000,"China, clay & arsenic",Monmouth Beach,N,Y,Cargo removed; Refloated,
Flying Dutchman,,,Clipper ship,1852,"New York, NY",2/25/1858,1858,2,25,Brigantine Beach,,,Stranded,Wood,,190,38.6,21.6,1257,,"New York, NY","San Francisco, CA","New York, NY",Hubbard,,,0,50000,150000,Wheat & hides,,Y,N,Broke up; Total loss,
Forest (1841),,,Brig,,,4/20/1841,1841,4,20,Sandy Hook,,,Stranded,,,,,,,,"New York, NY","Mayaguez, PR","New York, NY",Lane,,,,,,,,N,N,Refloated,
Forest (1848),,,Brig,,,3/2/1848,1848,3,2,Hereford Inlet bar,,,Stranded,,,,,,,,"New York, NY","Philadelphia, PA","New York, NY",,,,,,,,,Y,N,Total loss,
Fortuna (1910),,,Bark,1869,"Hamburg, Germany",1/18/10,1910,1,18,Ship Bottom LSS NE .5 m,,,Stranded,Iron,Italy,185,33.1,20.1,924,,"Trapani, Sicily","Montevideo, Uraguay","New York, NY",Andragua,13,4,0,8000,,,Ship Bottom,,Y,Trading Vessel,
Foyle,,J Nourse,,1874,"Sunderland, England",1/25/1896,1896,1,25,Monmouth Beach LSS E .25 mi,,,Stranded,,England,243,38.8,24.2,1598,1528,"London, England","Calcutta, India","New York, NY",Hopps,27,,0,20000,50000,"jute, saltpeter, & ginger",,,N,#70642,
Francis (1897),,New Bedford interests,Yarder 3 skysail,1885,"Bath, ME",5/8/1897,1897,5,8,Little Egg LSS SE 2 mi,39-29-25 N,74-15-25 W,Burned,Wood,US,231,43.4,26.6,2077,1973.53,"New Bedford, MA","San Francisco, CA","New York, NY",Smith,25,0,0,50000,250000,"General/ 4,000 bbls. of wine",Little Egg Harbor,Y,N,#120628; via Cape Horn,
Frank Clark,,Morton et al,Brig,1867,"Damariscotta, ME",3/17/1876,1876,3,17,Barnegat E 1.5 mi,,,Collision,Wood,US,113.8,27.1,11,297.05,,"Damariscotta, ME","St Thomas, WI","New York, NY",Samuel Morton,,,3,,,"Fish, wines, ets",,Y,N,#9754; Total loss,
Frank Pearson,,,Schooner,,,1/21/1880,1880,1,21,Island Beach LSS S 1 mi,,,Stranded,,,,,,82.82,,"Rockland, ME","Richmond, VA","New York, NY",Cushman,4,0,0,10000,1500,Railroad ties & pig iron,Island Beach #14,N,N,#120346; Refloated,
Frank Pratt Lee,,B E Etheridge,Schooner,1882,"Camden, NJ",11/6/1884,1884,11,6,Monmouth Beach E .5 mi,,,Stranded,,US,144.3,35,15.9,600.8,570.76,"Philadelphia, PA","Baltimore, MD","Stapleton, Staten Island, NY",W E Lee,8,0,0,35000,3000,Coal,,N,N,#120525; Refloated,
Frankfort,,New Orleans - New York Line,Packet,1839,"New York, NY",1/14/1842,1842,1,14,Little Egg Harbor bar,,,Stranded,,US,151,34,20,799,,"New York, NY","New Orleans, LA","New York, NY",Russell,,,,100000,,,,Y,N,Total loss,
Fred E Scammell,,Scammell Bros,,1880,"Eatonville, Nova Scotia",1/18/1883,1883,1,18,Brigantine Shoal E 3 mi,,,Stranded,,England,195,39,22.5,1350,,"Parrsboro, NS","Antwerp, Belgium","New York, NY",Anderson,,17,0,70000,30000,Iron & empty barrels,Brigantine,N,N,"#80366; Refloated; Damage ~$25,000",
Freddie Hencken,,Hencken & Co,Schooner,1882,"Greenport, NY",9/26/1886,1886,9,26,Sandy Hook,,,Collision,,,135,25,10.6,326,,,"Port of Yorktown, Virginia","New York, NY",Thompson,,,,,,,,,N,#120518,
Frederica (1914),,,Steamer,1899,,4/28/14,1914,4,28,Harvey Cedars SSE 1 mi,,,Stranded,Steel,Austria,340,46,17.9,3530,2261,"Trieste, Austria","Cienfuegos, Cuba","New York, NY",,28,0,0,80000,330000,Sugar,Harvey Cedars,N,N,Refloated,
Galaxy (1836),,,Bark,,,3/16/1836,1836,3,16,Barnegat Light S 3 mi,,,Stranded,,,,,,,,,"Canton, China","New York, NY",,,,1,,,Teas,,Y,N,Total loss,
Garrick,,E K Collins,Packet,1836,"New York, NY",1/6/1841,1841,1,6,Deal Beach,,,Stranded,Wood,US,157.6,35.4,21,895,,,"Liverpool, England","New York, NY",A S Palmer,67,385,,,,General cargo,,N,N,Refloated,
Gaston T Hubbard,,,Schooner,1861,"Middletown, CT",12/26/1879,1879,12,26,Great Egg Harbor bar,,,Stranded,,US,,,,192.52,,"New York, NY","James River, VA","New York, NY",Loveland,6,,0,5000,1650,Wood,Beasley's #30,N,N,#10426; Refloated,
General Gadsden,,Tibbitts & Whitney,Sailing ship,,,1/10/1820,1820,1,10,Deal Beach,,,Stranded,Wood,US,,,,,,,"Amsterdam, Neth","New York, NY",Whitney,,8,0,,,97 pipes of gin; 400 bundles iron,,Y,N,Cargo/crew passengers saved; ship lost,
Gentoo,,W P Goddard,Bark,1850,"Medford, MA",12/28/1875,1875,12,28,Sandy Hook Point,,,Stranded,,US,,,19,800,,"New York, NY","Calcutta, India","New York, NY",Staples,18,,0,24000,40000,Gunny bags,Sandy Hook #1,N,N,Refloated; Towed to NY,
George Canning,,,Packet,1827,"New York, NY",1/7/1832,1832,1,7,Absecon Beach,39-20-00 N,74-28-00 W,Stranded,,,131,30.6,13.3,551,,,"Liverpool, England","New York, NY",Francis Allyn,,,0,,,Dry goods & hardware,,Y,N,Total loss,
George F Phillips,,Daniel J Fooks,Schooner,1901,"Bethel, DE",12/21/05,1905,12,21,Bay Head LSS N 1.5 mi,,,Stranded,Wood,US,130.2,28.8,8.4,270,237,"Seaford, DE","Norfolk, VA","New York, NY",Morton,6,,0,4800,6500,Lumber,,N,N,#86572; Abandoned; Towed to NY,
George Kilburn,,Sweet & Co,Schooner,1854,"Mt Desert, ME",6/7/1878,1878,6,7,Long Beach LSS N 1 mi,,,Stranded,,US,,,,142,,"Bangor, ME","East Blue Hill, Maine","New York, NY",Dodge,8,,0,5000,5500,Granite,,Y,N,#10168; Total loss,
George R Fisher,,,Schooner,,,1/30/1864,1864,1,30,Squan Inlet S 5 mi,,,Stranded,,,,,,,,,"Milford, DE","New York, NY",Erickson,5,0,0,,,,,,N,,
George S Low,,David Low & Co,Schooner,1865,"Chelsea, MA",5/10/1879,1879,5,10,Ludlams Beach N 1 mi,,,Stranded,,,70,20.8,7.3,62,,"Gloucester, MA","Gloucester, MA","New York, NY",Osborne,15,0,0,2800,600,Mackerel,Ludlams Beach #33,Y,N,#10280; Total loss,
George W Rodgers,,,Schooner,1853,"Old Lyme, CT",12/30/1880,1880,12,30,Absecon Inlet North shoal,,,Stranded,Wood,,54.8,18.6,7.8,41,,"Greenport, NY","Atlantic City, NJ","New York, NY",,5,,,,,Codfish,Atlantic City #27,N,N,#10758; Refloated,
Georgia,,,Sailing ship,1847,"Boston, MA",12/3/1852,1852,12,3,Bonds LSS,39-32-18 N,74-14-40 W,Stranded,Wood,US,,,,,,"Savannah, GA","Liverpool, England","New York, NY",Marshall Brady,,296,0,,,Iron; salt,,Y,N,All saved,
Georgic,,White Star Line,Steamer,1895,"Belfast, Ireland",11/26/08,1908,11,26,Sandy Hook,,,Collision,Steel,England,558.7,60.2,36,10077,6570,"Liverpool, England","Liverpool, England","New York, NY",Clarke,38,,0,,,Elelphants; livestock,,N,Y,"#105326; Resued ""Finance"" pass. & crew","See folder on ""Finance"""
Georgie Clark,,E S Bartlett,Schooner,1871,"Coopers Point, NJ",2/19/1894,1894,2,19,Spermaceti Cove LSS N 2 mi,,,Stranded,Wood,US,129.9,31.2,8,365.12,346.86,"Philadelphia, PA","Wilmington, NC","New York, NY",Bartlett,7,,0,8000,6000,Lumber,Spermaceti Cove #2,N,N,#85243; Refloated; No loss,
Georgie L Drake,,,Schooner,1883,"Bath, ME",4/3/1891,1891,4,3,Sandy Hook Point,,,Stranded,,,143.3,35.1,12.5,465.93,442.64,"Bath, ME","Mobile, AL","New York, NY",Goldthwaite,8,,0,12000,1500,Lumber,Sandy Hook,N,N,#85766; Refloated,
Germania,Cumberland,H Addicks,Bark,1852,"Baltimore, MD",11/27/1889,1889,11,27,Long Branch LSS N .75 mi,,,Stranded,Wood,Germany,154.5,33.9,21.4,,817,"Bremerhaven, Germany","Stettin, Germany","New York, NY",H Windhorst,15,0,10,10000,17000,"Cement, wood pulp, barrels",Long Branch,Y,N,Broke up; Total loss,
Gertrude (1892),,,Sloop,,"Penns Grove, NJ",12/24/1892,1892,12,24,Long Branch LSS E 300 yds,,,Stranded,Wood,US,38,14.2,4.8,1818.14,17.23,"Somers Point, NJ","Port of Yorktown, Virginia","New York, NY",Hilton,2,0,0,800,700,Clams,Long Branch,N,N,#10945; Refloated,
Gilman D King,,,Schooner,,,6/2/1870,1870,6,21,Squan Beach N 1 mi,,,Stranded,,,,,,137,,"Calais, ME","Jamaica, WI","New York, NY",S A Eldridge,5,,0,,,Bamboo,,N,N,#10553; Refloaterd,
Golden Rule,,F Nicholson,Ship,1854,"Newcastle, ME",4/9/1872,1872,4,9,Sandy Hook S 2 mi,,,Stranded,,US,,,20.5,1195,,"Boston, MA","Liverpool, England","New York, NY",Howell,,,,,,,,N,N,Refloated,
Governor Bull,,,Brig,,,5/4/1861,1861,5,4,Squan Inlet S 3 mi,39-59-24 N,74-03-30 W,Stranded,,,,,,,,,"Port of Lázaro Cárdenas, Mexico","New York, NY",Arthur,10,,,,,Sugar,Chadwick #12,,N,,
Governor Coddington,,,,,,5/13/1839,1839,5,13,Island Beach,,,Stranded,,,,,,,,"Newport, RI","Marseilles, France","New York, NY",,,,0,,,,,Y,N,Total loss; crew saved,
